aika,kulutus_vaihe1_Wh,kulutus_vaihe2_Wh,kulutus_vaihe3_Wh,tuotanto_vaihe1_Wh,tuotanto_vaihe2_Wh,tuotanto_vaihe3_Wh
2025-10-13T00:00:00,380,50,70,0,0,0
2025-10-13T01:00:00,360,48,65,0,0,0
2025-10-13T02:00:00,350,45,60,0,0,0
2025-10-13T03:00:00,340,44,58,0,0,0
2025-10-13T04:00:00,370,50,68,0,0,0
2025-10-13T05:00:00,480,65,85,5,10,15
2025-10-13T06:00:00,620,85,110,30,60,80
2025-10-13T07:00:00,750,105,140,80,150,200
2025-10-13T08:00:00,680,95,130,120,220,280
2025-10-13T09:00:00,580,80,110,140,260,320
2025-10-13T10:00:00,550,75,100,150,280,340
2025-10-13T11:00:00,520,70,95,140,260,320
2025-10-13T12:00:00,540,75,100,130,240,300
2025-10-13T13:00:00,560,78,105,120,220,280
2025-10-13T14:00:00,580,82,110,100,180,240
2025-10-13T15:00:00,600,85,115,80,150,200
2025-10-13T16:00:00,650,90,120,50,100,140
2025-10-13T17:00:00,720,100,135,20,40,60
2025-10-13T18:00:00,780,110,150,5,10,20
2025-10-13T19:00:00,740,105,145,0,0,0
2025-10-13T20:00:00,680,95,130,0,0,0
2025-10-13T21:00:00,620,85,115,0,0,0
2025-10-13T22:00:00,560,75,100,0,0,0
2025-10-13T23:00:00,500,65,90,0,0,0
2025-10-14T00:00:00,400,55,75,0,0,0
2025-10-14T01:00:00,380,52,70,0,0,0
2025-10-14T02:00:00,370,50,68,0,0,0
2025-10-14T03:00:00,360,48,65,0,0,0
2025-10-14T04:00:00,390,54,72,0,0,0
2025-10-14T05:00:00,510,70,90,8,15,20
2025-10-14T06:00:00,660,90,120,35,70,90
2025-10-14T07:00:00,780,110,150,90,170,220
2025-10-14T08:00:00,710,100,135,130,240,300
2025-10-14T09:00:00,610,85,115,150,280,340
2025-10-14T10:00:00,580,80,110,160,300,360
2025-10-14T11:00:00,550,75,100,150,280,340
2025-10-14T12:00:00,570,78,105,140,260,320
2025-10-14T13:00:00,590,82,110,130,240,300
2025-10-14T14:00:00,610,85,115,110,200,260
2025-10-14T15:00:00,630,88,120,90,170,220
2025-10-14T16:00:00,680,95,130,60,120,160
2025-10-14T17:00:00,750,105,140,25,50,70
2025-10-14T18:00:00,810,115,155,8,15,25
2025-10-14T19:00:00,770,110,150,0,0,0
2025-10-14T20:00:00,710,100,135,0,0,0
2025-10-14T21:00:00,650,90,120,0,0,0
2025-10-14T22:00:00,590,80,105,0,0,0
2025-10-14T23:00:00,530,70,95,0,0,0
2025-10-15T00:00:00,420,58,78,0,0,0
2025-10-15T01:00:00,400,55,75,0,0,0
2025-10-15T02:00:00,390,53,72,0,0,0
2025-10-15T03:00:00,380,51,70,0,0,0
2025-10-15T04:00:00,410,57,76,0,0,0
2025-10-15T05:00:00,530,73,95,10,20,25
2025-10-15T06:00:00,680,95,125,40,80,100
2025-10-15T07:00:00,800,115,155,100,190,240
2025-10-15T08:00:00,730,105,140,140,260,320
2025-10-15T09:00:00,630,90,120,160,300,360
2025-10-15T10:00:00,600,85,115,170,320,380
2025-10-15T11:00:00,570,80,110,160,300,360
2025-10-15T12:00:00,590,83,112,150,280,340
2025-10-15T13:00:00,610,87,117,140,260,320
2025-10-15T14:00:00,630,90,122,120,220,280
2025-10-15T15:00:00,650,93,127,100,180,240
2025-10-15T16:00:00,700,100,135,70,140,180
2025-10-15T17:00:00,770,110,150,30,60,80
2025-10-15T18:00:00,830,120,160,10,20,30
2025-10-15T19:00:00,790,115,155,0,0,0
2025-10-15T20:00:00,730,105,140,0,0,0
2025-10-15T21:00:00,670,95,125,0,0,0
2025-10-15T22:00:00,610,85,110,0,0,0
2025-10-15T23:00:00,550,75,100,0,0,0
2025-10-16T00:00:00,440,60,80,0,0,0
2025-10-16T01:00:00,420,58,78,0,0,0
2025-10-16T02:00:00,410,56,75,0,0,0
2025-10-16T03:00:00,400,54,73,0,0,0
2025-10-16T04:00:00,430,60,80,0,0,0
2025-10-16T05:00:00,550,76,100,12,25,30
2025-10-16T06:00:00,700,100,130,45,90,110
