aika,kulutus_vaihe1_Wh,kulutus_vaihe2_Wh,kulutus_vaihe3_Wh,tuotanto_vaihe1_Wh,tuotanto_vaihe2_Wh,tuotanto_vaihe3_Wh
2025-10-06T00:00:00,380,50,70,0,0,0
2025-10-06T01:00:00,360,48,65,0,0,0
2025-10-06T02:00:00,350,45,60,0,0,0
2025-10-06T03:00:00,340,44,58,0,0,0
2025-10-06T04:00:00,370,50,68,0,0,0
2025-10-06T05:00:00,480,65,85,5,10,15
2025-10-06T06:00:00,620,85,110,30,60,80
2025-10-06T07:00:00,750,105,140,80,150,200
2025-10-06T08:00:00,680,95,130,120,220,280
2025-10-06T09:00:00,580,80,110,140,260,320
2025-10-06T10:00:00,550,75,100,150,280,340
2025-10-06T11:00:00,520,70,95,140,260,320
2025-10-06T12:00:00,540,75,100,130,240,300
2025-10-06T13:00:00,560,78,105,120,220,280
2025-10-06T14:00:00,580,82,110,100,180,240
2025-10-06T15:00:00,600,85,115,80,150,200
2025-10-06T16:00:00,650,90,120,50,100,140
2025-10-06T17:00:00,720,100,135,20,40,60
2025-10-06T18:00:00,780,110,150,5,10,20
2025-10-06T19:00:00,740,105,145,0,0,0
2025-10-06T20:00:00,680,95,130,0,0,0
2025-10-06T21:00:00,620,85,115,0,0,0
2025-10-06T22:00:00,560,75,100,0,0,0
2025-10-06T23:00:00,500,65,90,0,0,0
2025-10-07T00:00:00,400,55,75,0,0,0
2025-10-07T01:00:00,380,52,70,0,0,0
2025-10-07T02:00:00,370,50,68,0,0,0
2025-10-07T03:00:00,360,48,65,0,0,0
2025-10-07T04:00:00,390,54,72,0,0,0
2025-10-07T05:00:00,510,70,90,8,15,20
2025-10-07T06:00:00,660,90,120,35,70,90
2025-10-07T07:00:00,780,110,150,90,170,220
2025-10-07T08:00:00,710,100,135,130,240,300
2025-10-07T09:00:00,610,85,115,150,280,340
2025-10-07T10:00:00,580,80,110,160,300,360
2025-10-07T11:00:00,550,75,100,150,280,340
2025-10-07T12:00:00,570,78,105,140,260,320
2025-10-07T13:00:00,590,82,110,130,240,300
2025-10-07T14:00:00,610,85,115,110,200,260
2025-10-07T15:00:00,630,88,120,90,170,220
2025-10-07T16:00:00,680,95,130,60,120,160
2025-10-07T17:00:00,750,105,140,25,50,70
2025-10-07T18:00:00,810,115,155,8,15,25
2025-10-07T19:00:00,770,110,150,0,0,0
2025-10-07T20:00:00,710,100,135,0,0,0
2025-10-07T21:00:00,650,90,120,0,0,0
2025-10-07T22:00:00,590,80,105,0,0,0
2025-10-07T23:00:00,530,70,95,0,0,0
2025-10-08T00:00:00,420,58,78,0,0,0
2025-10-08T01:00:00,400,55,75,0,0,0
2025-10-08T02:00:00,390,53,72,0,0,0
2025-10-08T03:00:00,380,51,70,0,0,0
2025-10-08T04:00:00,410,57,76,0,0,0
2025-10-08T05:00:00,530,73,95,10,20,25
2025-10-08T06:00:00,680,95,125,40,80,100
2025-10-08T07:00:00,800,115,155,100,190,240
2025-10-08T08:00:00,730,105,140,140,260,320
2025-10-08T09:00:00,630,90,120,160,300,360
2025-10-08T10:00:00,600,85,115,170,320,380
2025-10-08T11:00:00,570,80,110,160,300,360
2025-10-08T12:00:00,590,83,112,150,280,340
2025-10-08T13:00:00,610,87,117,140,260,320
2025-10-08T14:00:00,630,90,122,120,220,280
2025-10-08T15:00:00,650,93,127,100,180,240
2025-10-08T16:00:00,700,100,135,70,140,180
2025-10-08T17:00:00,770,110,150,30,60,80
2025-10-08T18:00:00,830,120,160,10,20,30
2025-10-08T19:00:00,790,115,155,0,0,0
2025-10-08T20:00:00,730,105,140,0,0,0
2025-10-08T21:00:00,670,95,125,0,0,0
2025-10-08T22:00:00,610,85,110,0,0,0
2025-10-08T23:00:00,550,75,100,0,0,0
2025-10-09T00:00:00,440,60,80,0,0,0
2025-10-09T01:00:00,420,58,78,0,0,0
2025-10-09T02:00:00,410,56,75,0,0,0
2025-10-09T03:00:00,400,54,73,0,0,0
2025-10-09T04:00:00,430,60,80,0,0,0
2025-10-09T05:00:00,550,76,100,12,25,30
2025-10-09T06:00:00,700,100,130,45,90,110
2025-10-09T07:00:00,820,120,160,110,210,260
2025-10-09T08:00:00,750,110,145,150,280,340
2025-10-09T09:00:00,650,95,125,170,320,380
2025-10-09T10:00:00,620,90,120,180,340,400
2025-10-09T11:00:00,590,85,115,170,320,380
2025-10-09T12:00:00,610,88,118,160,300,360
2025-10-09T13:00:00,630,92,123,150,280,340
2025-10-09T14:00:00,650,95,128,130,240,300
2025-10-09T15:00:00,670,98,133,110,200,260
2025-10-09T16:00:00,720,105,140,80,160,200
2025-10-09T17:00:00,790,115,155,35,70,90
2025-10-09T18:00:00,850,125,165,12,25,35
